row_index,source_name,true_label,pred_label,confidence,period,amplitude,ra_deg,dec_deg,simbad_id,simbad_otype,vsx_name,vsx_type,vsx_period,asassn_name,asassn_type,asassn_period,asassn_amp,gcvs_name,gcvs_type,gcvs_period,pred_broad,true_broad,vsx_broad,asassn_broad,simbad_broad,n_confirm_pred,n_confirm_true,final_verdict
519382,ASASSN-V J012039.21-631836.8,EW,RRC,0.988861,0.3770716809739955,0.7319999999999993,20.163375,-63.310222,OGLE SMC811.27.000547,RR*,Gaia DR3 4715270600859204480,RRC,0.377064,J012039.21-631836.8,EW,0.754128,0.57,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
487714,ASASSN-V J180621.28-404132.1,EW,RRC,0.988823,0.2825997799848376,0.7990000000000013,271.588667,-40.69225,OGLE BLG-RRLYR-56668,RR*,ASASSN-V J180621.26-404131.9,EW,0.565213,J180621.28-404132.1,EW,0.5652126,0.51,,,,RR,EB,EB,EB,RR,1,2,CONFLICTING
15374,ASASSN-V J163818.72-573022.4,RRC,EW,0.988823,0.2386711024782169,0.5619999999999994,249.578,-57.506222,Gaia DR3 5927299097501078272,EB*,ASASSN-V J163818.77-573020.4,RRC,0.238665,J163818.72-573022.4,RRC,0.2386653,0.25,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
13570,ASASSN-V J111400.98-530900.5,RRC,EW,0.98856,0.3907581929620884,0.30799999999999983,168.504083,-53.150139,Gaia DR3 5347623995980104704,EB*,ASASSN-V J111401.11-530901.7,RRC,0.390773,J111400.98-530900.5,RRC,0.390773,0.21,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
166255,ASASSN-V J195542.46+415022.5,ROT,SR,0.988474,39.11319169961284,0.21700000000000053,298.926917,41.839583,ZTF J195542.46+415022.5,LP*,ZTF J195542.46+415022.5,SR,38.5379673,J195542.46+415022.5,ROT,39.129333,0.13,,,,LPV,ROT,LPV,ROT,LPV,2,1,MODEL_LIKELY_CORRECT
9626,ASASSN-V J071827.32-110009.9,RRC,EW,0.988424,0.221344778703747,0.6530000000000005,109.613833,-11.00275,ATO J109.6139-11.0028,EB*,ZTF J071827.33-110010.2,EW,0.4426952,J071827.32-110009.9,RRC,0.221346,0.31,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
575978,ZTFJ193750.69+432223.7,EW,RRC,0.988413,0.341359510228916,0.7830000000000013,294.461208,43.37325,ZTF J193750.69+432223.7,RR*,PS1-3PI J193750.69+432223.7,RRC,0.341347,,,,,,,,RR,EB,RR,,RR,2,0,MODEL_LIKELY_CORRECT
708312,ASASSN-V J185112.44-300827.1,DSCT,EW,0.988163,0.179477784275547,0.472999999999999,282.801833,-30.140861,Gaia DR3 6761257918214837760,EB*,ASASSN-V J185112.27-300827.9,HADS,0.179476,J185112.44-300827.1,HADS,0.1794758,0.22,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
13728,ASASSN-V J063247.78-243732.3,RRC,EW,0.988131,0.2262128767588971,0.254999999999999,98.199083,-24.625639,CRTS J063247.7-243732,EB*,SSS_J063247.7-243732,EB|EW,0.45243,J063247.78-243732.3,RRC,0.2262164,0.17,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
703879,ASASSN-V J195007.44+171039.5,DSCT,EW,0.988062,0.2191770712824318,0.45699999999999896,297.531,17.177639,ATO J297.5307+17.1775,EB*,ZTF J195007.36+171039.1,EW,0.3046262,J195007.44+171039.5,HADS,0.1523122,0.34,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
